zipcode,zhvi
62918,123890.08
62920,113430.17
62921,48589.75
62922,125598.00
62923,68029.83
62924,67245.08
62926,77964.83
62928,136353.33
62930,56909.25
62932,70682.17
62933,102457.75
62934,82685.83
62935,87448.83
62938,112537.00
62939,123417.33
62940,88689.58
62941,79446.00
62942,23010.42
62943,89762.42
62946,71521.75
62947,122591.58
62948,74072.58
62949,43714.58
62950,81393.75
62951,61083.33
62952,85235.67
62953,18522.42
62956,71044.50
62958,157265.75
62959,111241.75
62960,74383.58
62966,98585.50
62967,106500.00
62972,133808.08
62974,85833.58
62975,101391.92
62977,111638.33
62983,44015.67
62985,133159.42
62987,108688.58
62995,89504.00
62997,42536.08
62998,51461.00
62999,39465.17
